id_exp,alert_chain_delay,nb_siren_down,nb_cellbroadcast,new_siren,nb_dead_people
142,900.0,1,1,0,826
141,900.0,1,1,0,822
143,900.0,1,1,0,880
147,900.0,1,1,0,808
146,900.0,1,1,0,819
144,900.0,1,1,0,797
145,900.0,1,1,0,864
149,900.0,1,1,0,823
148,900.0,1,1,0,870
152,900.0,1,1,1,754
153,900.0,1,1,1,782
151,900.0,1,1,1,793
150,900.0,1,1,1,790
157,900.0,1,1,1,780
155,900.0,1,1,1,790
156,900.0,1,1,1,790
154,900.0,1,1,1,775
159,900.0,1,1,1,787
158,900.0,1,1,1,748
161,1080.0,0,0,0,1998
163,1080.0,0,0,0,2008
162,1080.0,0,0,0,2008
160,1080.0,0,0,0,2011
166,1080.0,0,0,0,1921
164,1080.0,0,0,0,1936
165,1080.0,0,0,0,2009
167,1080.0,0,0,0,1991
168,1080.0,0,0,0,1959
169,1080.0,0,0,0,1935
171,1080.0,0,0,1,1923
173,1080.0,0,0,1,1953
170,1080.0,0,0,1,1890
172,1080.0,0,0,1,1911
176,1080.0,0,0,1,1927
174,1080.0,0,0,1,1876
177,1080.0,0,0,1,1907
175,1080.0,0,0,1,2004
178,1080.0,0,0,1,1907
179,1080.0,0,0,1,1921
181,1080.0,0,1,0,1243
182,1080.0,0,1,0,1268
183,1080.0,0,1,0,1292
180,1080.0,0,1,0,1277
186,1080.0,0,1,0,1213
187,1080.0,0,1,0,1226
185,1080.0,0,1,0,1208
184,1080.0,0,1,0,1292
189,1080.0,0,1,0,1269
188,1080.0,0,1,0,1304
192,1080.0,0,1,1,1243
191,1080.0,0,1,1,1203
193,1080.0,0,1,1,1236
190,1080.0,0,1,1,1268
195,1080.0,0,1,1,1249
196,1080.0,0,1,1,1285
197,1080.0,0,1,1,1298
194,1080.0,0,1,1,1230
198,1080.0,0,1,1,1220
199,1080.0,0,1,1,1253
203,1080.0,1,0,0,1888
201,1080.0,1,0,0,1976
200,1080.0,1,0,0,1907
202,1080.0,1,0,0,1960
206,1080.0,1,0,0,1972
205,1080.0,1,0,0,1898
207,1080.0,1,0,0,2036
204,1080.0,1,0,0,2070
208,1080.0,1,0,0,2014
209,1080.0,1,0,0,2040
213,1080.0,1,0,1,1892
210,1080.0,1,0,1,1852
212,1080.0,1,0,1,1964
211,1080.0,1,0,1,1885
217,1080.0,1,0,1,1921
215,1080.0,1,0,1,1931
214,1080.0,1,0,1,1988
216,1080.0,1,0,1,1910
218,1080.0,1,0,1,1941
219,1080.0,1,0,1,1955
220,1080.0,1,1,0,1297
221,1080.0,1,1,0,1287
222,1080.0,1,1,0,1292
223,1080.0,1,1,0,1331
224,1080.0,1,1,0,1274
226,1080.0,1,1,0,1262
225,1080.0,1,1,0,1216
227,1080.0,1,1,0,1266
228,1080.0,1,1,0,1287
229,1080.0,1,1,0,1271
231,1080.0,1,1,1,1233
230,1080.0,1,1,1,1224
233,1080.0,1,1,1,1272
232,1080.0,1,1,1,1237
237,1080.0,1,1,1,1273
236,1080.0,1,1,1,1277
235,1080.0,1,1,1,1258
234,1080.0,1,1,1,1254
238,1080.0,1,1,1,1312
239,1080.0,1,1,1,1266
